id_recibo,producto_id,pedido_id,cantidad,valor_unitario,valor_total,ciudad,costo_envio,ciudad_nombre,vendedor_id,fecha_compra,total,producto,precio,marca,sku,condicion,tipo_producto,nombre_vendedor,año_compra,mes_compra
1,41518,341,3,260,780,BR-BA,156.0,Bahia,6,2019-01-05,780,Calca Jeans Basica,260,Banana Republic,255410.0,Nuevo Con Etiqueta,Calca,Unknown,2019,1
2,4307,1174,5,6175,30875,BR-RJ,6175.0,Rio de Janeiro,3,2019-01-05,30875,Bolsa Intrecciato Caramelo,6175,Bottega Veneta,301305.0,Usado,Bolsa,Nadia Oliveira,2019,1
3,22407,1399,3,200,600,BR-PB,120.0,Paraíba,1,2019-01-05,600,Cropped Listras Florzinhas,200,Topshop,327426.0,Usado,Cropped,Ana Duarte,2019,1
4,3820,1652,6,139,834,BR-DF,166.8,Distrito Federal,4,2019-01-05,834,Shorts Jeans Tye Dye,139,Lezalez,252560.0,Usado,Shorts,Millena Pereira,2019,1
5,29012,2470,3,525,1575,BR-BA,315.0,Bahia,2,2019-01-05,1575,Casaco Branco Costuras,525,Tigresse,257889.0,Usado,Casaco,Daniel Siqueira,2019,1
6,72621,2980,3,179,537,BR-MG,107.4,Minas Gerais,1,2019-01-05,537,Capa Fio Marrom,179,Zara,304783.0,Usado,Capa,Ana Duarte,2019,1
7,86243,3443,4,350,1400,BR-PR,280.0,Paraná,3,2019-01-05,1400,Sapatilha P&B Zebra,350,Jorge Bischoff,909166.0,Nuevo Sin Etiqueta,Sapatilha,Nadia Oliveira,2019,1
8,29012,3557,5,525,2625,BR-MS,525.0,Mato Grosso do Sul,4,2019-01-05,2625,Casaco Branco Costuras,525,Tigresse,257889.0,Usado,Casaco,Millena Pereira,2019,1
9,61071,3585,3,450,1350,BR-SP,270.0,São Paulo,1,2019-01-05,1350,Macacao Malha Preto,450,Animale,308101.0,Usado,Macacao,Ana Duarte,2019,1
10,100961,3687,2,480,960,BR-GO,192.0,Goiás,3,2019-01-06,960,Vestido Preto Renda,480,Dress&Co,175945.0,Usado,Vestido,Nadia Oliveira,2019,1
